Model,Accuracy,Precision,Recall,F1-Score,Training Time (min)
VGG16,0.8,0.8074886847607745,0.8000000000000002,0.7947036304076102,0.8200900634129842
ResNet50,0.772,0.7792049274552781,0.772,0.7718759705239231,0.46958646376927693
EfficientNet-B0,0.704,0.7285205615360246,0.704,0.6886408126652662,0.282911491394043
AlexNet,0.684,0.712951962076003,0.6840000000000002,0.6804037050632107,0.2580840945243835
